                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8289,                 2.4905,                 1.0645,                0.34225,                0.16231,                0.11423,                0.05999,                 1.6914,                 1.5783,                 1.0114,              0.0033251,              0.0033251,              0.0033251
                      2,                 1.7382,                 1.6443,                  1.022,                0.20377,                0.18289,                0.13823,                0.07493,                 1.6844,                 1.4638,                0.99616,              0.0066255,              0.0066255,              0.0066255
                      3,                  1.759,                 1.5687,                 1.0135,                0.24222,                0.20204,                0.16653,                0.09044,                 1.6994,                 1.3939,                0.99571,              0.0098929,              0.0098929,              0.0098929
                      4,                 1.7335,                 1.5068,                 1.0082,                 0.2681,                 0.2135,                0.17533,                0.09493,                 1.6458,                 1.3678,                0.98696,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.6827,                 1.4304,                0.99601,                0.28139,                0.23202,                0.19923,                0.10943,                 1.6268,                 1.3378,                0.97778,               0.009802,               0.009802,               0.009802
                      6,                  1.657,                 1.3869,                0.98879,                0.30327,                 0.2315,                0.20768,                0.11766,                 1.5821,                 1.2749,                0.96475,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.6397,                 1.3523,                0.98305,                0.29597,                0.24948,                0.21223,                0.11738,                 1.5933,                 1.2639,                0.96448,               0.009703,               0.009703,               0.009703
                      8,                 1.6061,                  1.305,                0.97531,                0.32923,                0.26853,                0.23766,                  0.132,                 1.5449,                 1.2151,                0.95621,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.5913,                 1.2828,                0.97132,                0.31304,                0.26385,                0.23146,                0.13012,                 1.5294,                 1.2277,                0.95721,               0.009604,               0.009604,               0.009604
                     10,                 1.5841,                 1.2605,                0.96768,                0.32963,                0.26889,                0.24434,                 0.1362,                 1.5143,                 1.1758,                0.95266,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.5755,                 1.2464,                0.96339,                0.34259,                0.27322,                0.25107,                0.14261,                 1.4898,                 1.1691,                0.94671,               0.009505,               0.009505,               0.009505
                     12,                 1.5544,                  1.228,                 0.9625,                0.34812,                0.26377,                0.24702,                0.13871,                 1.5056,                 1.1758,                0.94675,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.5466,                 1.2081,                0.95639,                0.35055,                0.26713,                0.25178,                0.14036,                    1.5,                 1.1796,                0.94857,               0.009406,               0.009406,               0.009406
